Certificate Name,Issued By1,Issue Date,Credential ID,Credential URL,LOGO1 URL
Developing Data Products,Johns Hopkins University,Apr-2024,6ZHEPKRUTCXU,https://www.coursera.org/account/accomplishments/verify/6ZHEPKRUTCXU,https://logosarchive.com/wp-content/uploads/2021/12/Johns-Hopkins-University-logo.svg
ChatGPT for Beginners: Save time with Microsoft Excel,Coursera Project Network,Apr-2024,HQLRVXA5FH94,https://www.coursera.org/account/accomplishments/verify/HQLRVXA5FH94,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/89/a0db8f3ea3417ca90d4f3a4ca1d73e/coursera-projectnetwork-purplesquare.png?auto=format%2Ccompress&dpr=1&w=80&h=80
Practical Machine Learning,Johns Hopkins University,Apr-2024,YHC79FLWFB9F,https://www.coursera.org/account/accomplishments/verify/YHC79FLWFB9F,https://logosarchive.com/wp-content/uploads/2021/12/Johns-Hopkins-University-logo.svg
Data Analysis with Python,IBM,Mar-2024,4DPA29RS45MH,https://coursera.org/verify/4DPA29RS45MH,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Data Visualization with Python,IBM,Mar-2024,D2DKMPMERY98,https://coursera.org/verify/D2DKMPMERY98,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Python Project for Data Science,IBM,Mar-2024,ZLK8PYZ9GT2J,https://coursera.org/verify/ZLK8PYZ9GT2J,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Python for Data Science &  AI & Development,IBM,Mar-2024,3C8GDFWESKSU,https://coursera.org/verify/3C8GDFWESKSU,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Applied Data Science Capstone,IBM,Mar-2024,U9KYU9NTHUXQ,https://coursera.org/share/2bbcbed856502914cac6a6b023371f81,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Prepare Data for Exploration,Google,Feb-2024,54TDJF78WUUJ,https://www.coursera.org/account/accomplishments/verify/54TDJF78WUUJ,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
Share Data Through the Art of Visualization,Google,Feb-2024,6DM2VQD6MX34,https://www.coursera.org/account/accomplishments/verify/6DM2VQD6MX34,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
Analyze Data to Answer Questions,Google,Feb-2024,6PE5WKYVVQ9W,https://www.coursera.org/account/accomplishments/verify/6PE5WKYVVQ9W,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
Ask Questions to Make Data-Driven Decisions,Google,Feb-2024,MSLZCA23U9J4,https://www.coursera.org/account/accomplishments/verify/MSLZCA23U9J4,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
Data Analysis with Python,IBM,Feb-2024,b0b712a503da46ea9d7206c9dcd18462,https://courses.cognitiveclass.ai/certificates/b0b712a503da46ea9d7206c9dcd18462,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Data Science 101,IBM,Feb-2024,0bcdf062cdc943e691a3fae1568428a5,https://courses.cognitiveclass.ai/certificates/0bcdf062cdc943e691a3fae1568428a5,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Data Science Methodology,IBM,Feb-2024,c43e4d6f6379496e9d83ac27b41327bc,https://courses.cognitiveclass.ai/certificates/c43e4d6f6379496e9d83ac27b41327bc,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Foundations: Data | Data | Everywhere,Google,Feb-2024,ZMUPECJJYT4H,https://www.coursera.org/account/accomplishments/verify/ZMUPECJJYT4H,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
Google Data Analytics Capstone: Complete a Case Study,Google,Feb-2024,FT9T7B9QHQVS,https://www.coursera.org/account/accomplishments/verify/FT9T7B9QHQVS,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
Google Data Analytics Professional Certificate,Google,Feb-2024,DDC73EXRTRL5,https://www.coursera.org/account/accomplishments/professional-cert/DDC73EXRTRL5,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
Process Data from Dirty to Clean,Google,Feb-2024,BZAD65HTMLRR,https://www.coursera.org/account/accomplishments/verify/BZAD65HTMLRR,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
R (Basic),HackerRank,Feb-2024,66a12516d60b,https://www.hackerrank.com/certificates/66a12516d60b,https://upload.wikimedia.org/wikipedia/commons/4/40/HackerRank_Icon-1000px.png
Statistics 101,IBM,Feb-2024,280c5f5b53d942f1b202e0f87e2a240e,https://courses.cognitiveclass.ai/certificates/ee28aa8761314433a66802f128cb954e,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
The Complete R Programming for Data Science - 7 courses in 1,Udemy,Feb-2024,UC-397eb52e-e23e-42e0-9e50-e3b4228f0af5,https://www.udemy.com/certificate/UC-397eb52e-e23e-42e0-9e50-e3b4228f0af5/,https://media.licdn.com/dms/image/C4D0BAQFQr9e68bBOPQ/company-logo_200_200/0/1630536914848/udemy_logo?e=1720656000&v=beta&t=VRb5USnfcXN_6_nY-zfffx5-sHu9Bja6Fb5JflCaZ2s
Google Data Analytics Professional Certification,The Digital Adda,Feb-2024,DA/GDA/23/12880,./assets/images/certificate/tda_1.jpeg,https://thedigitaladda.com/wp-content/uploads/cropped-the-digital-adda-logo-1.png
R Programming A-Z: R For Data Science With Real Exercises!,Udemy,Feb-2024,UC-460194e7-5f54-4c4c-8c2c-4a6363e73db3,https://www.udemy.com/certificate/UC-460194e7-5f54-4c4c-8c2c-4a6363e73db3/,https://media.licdn.com/dms/image/C4D0BAQFQr9e68bBOPQ/company-logo_200_200/0/1630536914848/udemy_logo?e=1720656000&v=beta&t=VRb5USnfcXN_6_nY-zfffx5-sHu9Bja6Fb5JflCaZ2s
Statistical Inference,Johns Hopkins University,Feb-2024,98ELAUJDP9JK,https://www.coursera.org/account/accomplishments/verify/98ELAUJDP9JK,https://logosarchive.com/wp-content/uploads/2021/12/Johns-Hopkins-University-logo.svg
Regression Models,Johns Hopkins University,Feb-2024,QTBSYFL6A6NL,https://www.coursera.org/account/accomplishments/verify/QTBSYFL6A6NL,https://logosarchive.com/wp-content/uploads/2021/12/Johns-Hopkins-University-logo.svg
Introduction to Data Science,Infosys,Jan-2024,x,./assets/images/certificate/ITDS_IS.jpeg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Infosys_Technologies_logo.svg
Data Analysis with R Programming,Google,May-2023,K9C3LL5BGNYF,https://www.coursera.org/account/accomplishments/verify/K9C3LL5BGNYF,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
The Data Scientist Toolbox ,Johns Hopkins University,May-2023,9653462QHW3G,https://www.coursera.org/account/accomplishments/verify/9653462QHW3G,https://logosarchive.com/wp-content/uploads/2021/12/Johns-Hopkins-University-logo.svg
Advanced Diploma in Data Science with R,Alison,Apr-2023,4011-30678518,https://alison.com/certification/check/$2y$10$YlRUF9.LDAqehXnlOEsA.7lVWR1mngIkoiYTsj3y5F64GM9.hfqe,https://media.licdn.com/dms/image/C4D0BAQHS8A4vdTgmrw/company-logo_200_200/0/1659347075803/alison_learning_logo?e=1720656000&v=beta&t=p1CelBxfct_0UbSbg4VBtqGfhwoCvUDpm-Fl3_KiuW0
Data Science Professional Certification,ITRONIX SOLUTIONS,Apr-2023,IS/DS/23/1133,./assets/images/certificate/is_1.jpeg,https://media.licdn.com/dms/image/C560BAQHXLk150MDvLg/company-logo_200_200/0/1631382789701?e=1720656000&v=beta&t=E6b3J5-wSQC0DaxJxWhwcWiMAeiRhtMkVQOKsKPph4o
Data Visualization with R,IBM,Apr-2023,b9d7ab2585dd464cb09a160125f4ba16,https://www.credly.com/badges/c8237d3f-200e-40ca-a445-d09bbc2742db/linked_in_profile,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Digital Analytics & Regression,IBM,Apr-2023,bacd4c32a12b4cd1a7d5e3147d5ae00f,https://courses.cognitiveclass.ai/certificates/bacd4c32a12b4cd1a7d5e3147d5ae00f,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Machine Learning with R - Level 1,IBM,Apr-2023,f5764791bc4b4cf4861e8640ec95de09,https://www.credly.com/badges/5d2b11be-643c-49d9-9a23-feb46068081a/linked_in_profile,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
R for Data Science,IBM,Apr-2023,122a6be9091448f2a5449a0c827430e7,https://courses.cognitiveclass.ai/certificates/122a6be9091448f2a5449a0c827430e7,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Using R with Databases,IBM,Apr-2023,2108b386a6bd4ec59f61a16ae6ecbfcd,https://courses.cognitiveclass.ai/certificates/2108b386a6bd4ec59f61a16ae6ecbfcd,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
CutShort Certified R Programming - Basic,CutShort,Jul-2021,51968,https://cutshort.io/certificate/51968,https://media.licdn.com/dms/image/D4D0BAQEQIEKSYW75kg/company-logo_200_200/0/1692192268681?e=1720656000&v=beta&t=OqqR8PYTMjoYR9P0dLTqCyNtyeB3tN9rP_-q_9aahaA
R Essentials,IBM,Jul-2021,af5673b7e7fc4ff2880b039b131cdc30,https://www.credly.com/badges/a9aa0417-f6cf-425c-b5d1-4da497c565e5?source=linked_in_profile,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
Health Research Fundamentals,NPTEL,Oct-2018,NPTEL18GE11S21120538,./assets/images/certificate/nptel.jpeg,https://media.licdn.com/dms/image/C4D0BAQHJZGa_G2gwUg/company-logo_200_200/0/1631333024279?e=1720656000&v=beta&t=8oj1dVahrd8KsCEgFoR07lf7U8RBLkeoT4-6zg4FeTE
